"REPORT_ID","MONTH_DW","LAST_MONTHS","AMOUNT"
"24820","2014.02       ","1","440.00"
"24820","2013.07       ","1","95.00"
"54038","2014.06       ","1","10.00"
"54038","--            ","",""
"88203","2014.02       ","1","1321.00"
"88203","2013.11       ","1","397.00"
"88203","2013.09       ","1","401.00"
"88203","2013.07       ","1","415.00"
"88203","2013.04       ","1","392.00"
"88203","2013.02       ","1","261.00"
"88203","2012.11       ","1","16.00"
"88203","2012.10       ","1","755.00"
"88203","2012.03       ","2","523.00"
"88203","2012.02       ","1","258.00"
"125045","2012.09       ","1","1239.00"
"125045","--            ","",""
"125045","2014.01       ","1","39.00"
"125045","2013.02       ","1","2526.00"
"125045","2012.07       ","1","1326.00"
"125045","--            ","",""
"128445","2014.10       ","1","141.00"
"128445","2014.08       ","1","957.00"
"138988","2014.01       ","2","1130.00"
"138988","2013.12       ","1","531.00"
"138988","2013.06       ","1","152.00"
"138988","--            ","",""
"138988","2014.08       ","1","1749.00"
"138988","--            ","",""
"138988","2015.04       ","2","11605.00"
"138988","2015.03       ","1","9168.00"
"138988","2015.02       ","2","10216.00"
"138988","2015.01       ","1","2682.00"
"138988","2013.12       ","1","1980.00"
"138988","2013.01       ","1","621.00"
"139114","2014.12       ","1","139.00"
"139114","2014.10       ","1","69.00"
"139114","2014.12       ","1","4362.00"
"139114","--            ","",""
"139114","2014.12       ","1","241.00"
"139114","--            ","",""
"139114","2015.07       ","1","534.00"
"139114","2015.05       ","1","640.00"
"139114","2014.09       ","1","29.00"
"139114","--            ","",""
"138349","2014.07       ","2","5892.00"
"138349","2014.06       ","1","6711.00"
"138349","2013.10       ","3","4381.00"
"138349","2013.09       ","2","3452.00"
"138349","2013.08       ","1","1959.00"
"138349","2013.06       ","1","5000.00"
"138349","2014.06       ","1","91.00"
"138349","2013.11       ","1","98.00"
"138349","2013.08       ","1","24.00"
"138349","--            ","",""
"138349","2013.11       ","2","19234.00"
"138349","2013.10       ","1","16649.00"
"138349","2013.09       ","1","1549.00"
"138349","--            ","",""
"138349","2013.07       ","1","1090.00"
"138349","--            ","",""
"142665","2014.03       ","1","233.00"
"142665","--            ","",""
"142665","2013.07       ","1","298.00"
"142665","2012.05       ","1","5.00"
"142853","2013.12       ","1","692.00"
"142853","--            ","",""
"142853","2013.08       ","1","965.00"
