"REPORT_ID","TYPE_DW","FINANCE_CORP_COUNT","FINANCE_ORG_COUNT","ACCOUNT_COUNT","CREDIT_LIMIT","MAX_CREDIT_LIMIT_PER_ORG","MIN_CREDIT_LIMIT_PER_ORG","BALANCE","USED_CREDIT_LIMIT","LATEST_6M_USED_AVG_AMOUNT"
"8787","未销户贷记卡信息汇总","1","1","2","15000.00","15000.00","15000.00","","14974.00","9510.00"
"9410","未结清贷款信息汇总","5","5","5","138050.00","","","95207.00","","6027.00"
"9410","未销户贷记卡信息汇总","13","13","19","90000.00","12000.00","0.00","","65928.00","67483.00"
"28675","未结清贷款信息汇总","2","2","2","9888.00","","","6328.00","","499.00"
"28675","未销户贷记卡信息汇总","2","2","3","23000.00","20000.00","3000.00","","23060.00","23005.00"
"26899","未结清贷款信息汇总","1","1","1","7400.00","","","6578.00","","435.00"
"26899","未销户贷记卡信息汇总","3","3","4","21000.00","10000.00","5000.00","","20397.00","19597.00"
"22999","未结清贷款信息汇总","2","2","3","69400.00","","","66945.00","","437.00"
"22999","未销户贷记卡信息汇总","6","6","10","101338.00","54000.00","1020.00","","99118.00","67051.00"
"22999","未销户准贷记卡信息汇总","1","1","1","6000.00","6000.00","6000.00","","4186.00","4074.00"
"25708","未结清贷款信息汇总","1","1","1","1000.00","","","1000.00","","513.00"
"25708","未销户贷记卡信息汇总","4","4","6","28000.00","10209.00","4000.00","","26469.00","26444.00"
"24820","未销户贷记卡信息汇总","8","8","10","146000.00","35000.00","6000.00","","94410.00","62222.00"
"41549","未结清贷款信息汇总","4","4","4","16500.00","","","15956.00","","1452.00"
"41549","未销户贷记卡信息汇总","5","5","10","37000.00","10073.00","5000.00","","27718.00","28760.00"
"50598","未结清贷款信息汇总","2","2","2","19700.00","","","16417.00","","1658.00"
"50598","未销户贷记卡信息汇总","5","5","8","44375.00","14000.00","2000.00","","39275.00","39906.00"
"48614","未结清贷款信息汇总","3","3","3","342000.00","","","284296.00","","3937.00"
"48614","未销户贷记卡信息汇总","4","4","4","49500.00","27500.00","5000.00","","39759.00","23064.00"
"49099","未结清贷款信息汇总","2","2","2","4000.00","","","3850.00","","88.00"
"49099","未销户贷记卡信息汇总","2","2","2","12000.00","10000.00","2000.00","","6887.00","3986.00"
"54038","未结清贷款信息汇总","1","1","1","33000.00","","","23000.00","","1612.00"
"54038","未销户贷记卡信息汇总","4","4","4","88689.00","40000.00","5000.00","","47615.00","51591.00"
"54038","未销户准贷记卡信息汇总","1","1","2","100.00","50.00","50.00","","0.00","0.00"
"65159","未销户贷记卡信息汇总","2","2","2","25000.00","15000.00","10000.00","","13940.00","18068.00"
"65159","未销户准贷记卡信息汇总","2","2","3","22001.00","22000.00","1.00","","18788.00","15511.00"
"70476","未结清贷款信息汇总","6","6","11","23984.00","","","14154.00","","3267.00"
"70476","未销户贷记卡信息汇总","5","5","6","42500.00","11000.00","3500.00","","44335.00","37038.00"
"74971","未结清贷款信息汇总","3","3","5","118509.00","","","94880.00","","3548.00"
"74971","未销户贷记卡信息汇总","6","6","10","75500.00","20000.00","1000.00","","75483.00","55617.00"
"74971","未销户准贷记卡信息汇总","1","1","3","7500.00","7500.00","7500.00","","7499.00","6002.00"
"88163","未销户贷记卡信息汇总","11","11","25","320628.00","65000.00","2000.00","","227794.00","261819.00"
"88203","未结清贷款信息汇总","3","3","3","11300.00","","","7977.00","","949.00"
"88203","未销户贷记卡信息汇总","4","4","5","28625.00","15000.00","2000.00","","21713.00","20176.00"
"88203","未销户准贷记卡信息汇总","1","1","2","3000.00","3000.00","3000.00","","2339.00","1758.00"
"86974","未结清贷款信息汇总","1","1","1","5500.00","","","4950.00","","311.00"
"86974","未销户贷记卡信息汇总","2","2","2","14000.00","10000.00","4000.00","","1454.00","1530.00"
"90751","未销户贷记卡信息汇总","2","2","3","6000.00","3000.00","3000.00","","3051.00","2233.00"
"98638","未结清贷款信息汇总","5","5","5","23600.00","","","17151.00","","2776.00"
"98638","未销户贷记卡信息汇总","8","8","10","55300.00","10000.00","5000.00","","39761.00","35118.00"
"113922","未销户贷记卡信息汇总","8","8","10","91500.00","20000.00","5000.00","","79482.00","65525.00"
"112594","未结清贷款信息汇总","4","4","5","69388.00","","","37346.00","","417.00"
"112594","未销户贷记卡信息汇总","2","2","10","65000.00","52627.00","15000.00","","52522.00","44045.00"
"117735","未结清贷款信息汇总","3","3","3","60000.00","","","59223.00","","303.00"
"117735","未销户贷记卡信息汇总","7","7","9","91000.00","20000.00","7000.00","","24415.00","21022.00"
"116104","未结清贷款信息汇总","4","4","9","67500.00","","","62187.00","","2164.00"
"116104","未销户贷记卡信息汇总","2","2","3","50000.00","40000.00","10000.00","","16442.00","13721.00"
"125045","未结清贷款信息汇总","1","1","1","10000.00","","","4167.00","","927.00"
"125045","未销户贷记卡信息汇总","5","5","9","197460.00","98460.00","8000.00","","102860.00","92980.00"
"126671","未结清贷款信息汇总","3","3","3","23500.00","","","19652.00","","1443.00"
"126671","未销户贷记卡信息汇总","2","2","3","11000.00","11479.00","1000.00","","11057.00","10654.00"
"128445","未结清贷款信息汇总","1","1","1","57000.00","","","54600.00","","2593.00"
"128445","未销户贷记卡信息汇总","6","6","10","152920.00","49022.00","5000.00","","111396.00","89396.00"
"128098","未结清贷款信息汇总","5","5","6","24700.00","","","21263.00","","3057.00"
"128098","未销户贷记卡信息汇总","8","8","24","74900.00","33000.00","2500.00","","33811.00","32518.00"
"128098","未销户准贷记卡信息汇总","1","2","5","4350.00","4350.00","3313.00","","3384.00","2587.00"
"130668","未销户贷记卡信息汇总","6","6","9","42000.00","15000.00","3109.00","","18680.00","26103.00"
"130703","未销户贷记卡信息汇总","1","1","3","10000.00","11490.00","11490.00","","0.00","0.00"
"138349","未结清贷款信息汇总","4","4","15","61785.00","","","35109.00","","4849.00"
"138349","未销户贷记卡信息汇总","5","5","6","69111.00","31000.00","5000.00","","70730.00","66869.00"
"138676","未结清贷款信息汇总","3","3","6","21000.00","","","18230.00","","600.00"
"138676","未销户贷记卡信息汇总","3","3","6","18000.00","10000.00","4000.00","","13999.00","13991.00"
"134260","未销户贷记卡信息汇总","5","5","7","43000.00","15000.00","3000.00","","34275.00","41393.00"
"140614","未销户贷记卡信息汇总","8","8","14","174400.00","39000.00","3000.00","","140273.00","136559.00"
"139114","未结清贷款信息汇总","1","1","1","30000.00","","","14141.00","","926.00"
"139114","未销户贷记卡信息汇总","6","6","9","67500.00","30000.00","2000.00","","55131.00","51369.00"
"144510","未结清贷款信息汇总","3","3","4","37499.00","","","29345.00","","667.00"
"144510","未销户贷记卡信息汇总","7","7","12","146000.00","37000.00","10000.00","","78367.00","100571.00"
"144510","未销户准贷记卡信息汇总","1","1","4","34589.00","34589.00","34589.00","","22625.00","27386.00"
